"SNP" "perm_var" "beta" "maf" "true_var" "perm_bias"
"85" "SNP1" 0.00834921602559516 0.153415093267059 0.05 0.00962368421052632 -0.00127446818493116
"86" "SNP1" 0.00937156299350327 -0.0545118219200576 0.05 0.00962368421052632 -0.000252121217023046
"87" "SNP1" 0.0101286566285357 -0.0286511261572061 0.05 0.00962368421052632 0.000504972418009385
"88" "SNP1" 0.0113071837339811 -0.113309279200129 0.05 0.00962368421052632 0.00168349952345478
"89" "SNP1" 0.00898182227983472 0.22798974652113 0.05 0.00962368421052632 -0.000641861930691595
"90" "SNP1" 0.00960742979546805 -0.0828827630197501 0.05 0.00962368421052632 -1.62544150582658e-05
"91" "SNP1" 0.0102693767923371 -0.0291753390908976 0.05 0.00962368421052632 0.000645692581810785
"92" "SNP1" 0.00812495027367103 0.0674792847513676 0.05 0.00962368421052632 -0.00149873393685528
"93" "SNP1" 0.00916699211662642 -0.00466139860473783 0.05 0.00962368421052632 -0.000456692093899896
"94" "SNP1" 0.0101253641804996 0.0654684928799052 0.05 0.00962368421052632 0.000501679969973284
"95" "SNP1" 0.00914875451301258 -0.0707451494186766 0.05 0.00962368421052632 -0.000474929697513735
"96" "SNP1" 0.0113680853307412 -0.0665108578556183 0.05 0.00962368421052632 0.00174440112021488
"97" "SNP1" 0.0108659465076282 0.00753274507100658 0.05 0.00962368421052632 0.00124226229710188
"98" "SNP1" 0.00988805252231396 -0.15281462038958 0.05 0.00962368421052632 0.000264368311787645
"99" "SNP1" 0.00793927577216777 0.130865600716881 0.05 0.00962368421052632 -0.00168440843835855
"100" "SNP1" 0.00936469051941947 -0.0741318276636742 0.05 0.00962368421052632 -0.000258993691106846
"101" "SNP1" 0.0111279417273257 0.0531457707268514 0.05 0.00962368421052632 0.00150425751679938
"102" "SNP1" 0.00896128625758992 0.0447370522837582 0.05 0.00962368421052632 -0.000662397952936395
"103" "SNP1" 0.00895883762265939 -0.0036196220572862 0.05 0.00962368421052632 -0.000664846587866925
"104" "SNP1" 0.0087973588125906 0.0917760442622274 0.05 0.00962368421052632 -0.000826325397935715
"105" "SNP1" 0.0100242943750823 -0.121621897490986 0.05 0.00962368421052632 0.000400610164555984
"106" "SNP1" 0.00905964204564803 0.0707960553131864 0.05 0.00962368421052632 -0.000564042164878285
"107" "SNP1" 0.0089646082356842 -0.074094574349415 0.05 0.00962368421052632 -0.000659075974842115
"108" "SNP1" 0.00797806159026691 0.136632450397933 0.05 0.00962368421052632 -0.00164562262025941
"109" "SNP1" 0.00801772777609057 0.0256061972639678 0.05 0.00962368421052632 -0.00160595643443574
"110" "SNP1" 0.00884988469909111 -0.0701928442979004 0.05 0.00962368421052632 -0.000773799511435205
"111" "SNP1" 0.00911188939597975 0.186103896499512 0.05 0.00962368421052632 -0.000511794814546565
"112" "SNP1" 0.00893417116987366 0.0497799527132476 0.05 0.00962368421052632 -0.000689513040652656
"113" "SNP1" 0.010142037239121 -0.119586030230574 0.05 0.00962368421052632 0.000518353028594685
"114" "SNP1" 0.00906695025939394 0.100152036515449 0.05 0.00962368421052632 -0.000556733951132376
"115" "SNP1" 0.00974236914801561 -0.225211366666014 0.05 0.00962368421052632 0.000118684937489294
"116" "SNP1" 0.0107137123269396 0.0301940713437904 0.05 0.00962368421052632 0.00109002811641329
"117" "SNP1" 0.0120107848337772 0.0934744943265281 0.05 0.00962368421052632 0.00238710062325088
"118" "SNP1" 0.00944902030039396 -0.0464284512816578 0.05 0.00962368421052632 -0.000174663910132355
"119" "SNP1" 0.00946770797516282 -0.0748375809578212 0.05 0.00962368421052632 -0.000155976235363495
"120" "SNP1" 0.00862145701881219 -0.0161074008385391 0.05 0.00962368421052632 -0.00100222719171413
"121" "SNP1" 0.00877164082643651 -0.0215176346470806 0.05 0.00962368421052632 -0.000852043384089805
"122" "SNP1" 0.00985712362875537 0.126394533208688 0.05 0.00962368421052632 0.000233439418229054
"123" "SNP1" 0.0123802570730847 0.226086627536261 0.05 0.00962368421052632 0.00275657286255838
"124" "SNP1" 0.00907879825658443 0.0261720801761853 0.05 0.00962368421052632 -0.000544885953941886
"125" "SNP1" 0.0113385387229988 -0.0311440089844894 0.05 0.00962368421052632 0.00171485451247248
"126" "SNP1" 0.00929166164121063 -0.166550304122635 0.05 0.00962368421052632 -0.000332022569315686
"127" "SNP1" 0.00947224590386339 -0.04783541457128 0.05 0.00962368421052632 -0.000151438306662926
"128" "SNP1" 0.0102642539465991 0.252897980770847 0.05 0.00962368421052632 0.000640569736072785
"129" "SNP1" 0.0107816006964268 0.0119186224541552 0.05 0.00962368421052632 0.00115791648590048
"130" "SNP1" 0.00900047203116804 -0.0776961867324369 0.05 0.00962368421052632 -0.000623212179358276
"131" "SNP1" 0.00817616712980504 0.0333485169609468 0.05 0.00962368421052632 -0.00144751708072128
