"SNP" "perm_var" "beta"
"63" "SNP1" 0.0042041256850196 -0.0239942286259777
"64" "SNP1" 0.00319074645009214 0.0187566208852669
"65" "SNP1" 0.004144911379243 0.0267580327241059
"66" "SNP1" 0.00411942974260085 0.0268542155856824
"67" "SNP1" 0.00363167238399754 0.0820344602450828
"68" "SNP1" 0.00356746086845181 0.0245424931426347
"69" "SNP1" 0.00405693502164878 -0.0520589489640626
"70" "SNP1" 0.00363875121091884 0.0660079075298921
"71" "SNP1" 0.00418864223553522 0.0541392587209705
"72" "SNP1" 0.00376855083057496 0.0165107170579381
"73" "SNP1" 0.00353675676660294 -0.0778823539432002
"74" "SNP1" 0.00351674057060854 0.0482930362430466
"75" "SNP1" 0.00408003780726245 -0.0234790549021364
"76" "SNP1" 0.00350377842660215 -0.0686269471637527
"77" "SNP1" 0.00386931947494492 0.0543413242966502
"78" "SNP1" 0.00349474118603796 0.0194420231373154
"79" "SNP1" 0.00477735614882906 -0.038748987364686
"80" "SNP1" 0.0034550903046163 0.00835125610535938
"81" "SNP1" 0.0039374992443291 -0.0669355059418953
"82" "SNP1" 0.00384665584967732 0.0406817219592129
"83" "SNP1" 0.00312922700251945 0.020308661408364
"84" "SNP1" 0.00357860699999817 0.0701174546200414
"85" "SNP1" 0.00330578090991109 0.0452864564099244
"86" "SNP1" 0.00328988495662282 -0.00663176884547743
"87" "SNP1" 0.00385310779273164 0.0205545582644169
"88" "SNP1" 0.00407923556783119 0.0146635805767516
"89" "SNP1" 0.00337221507193023 -0.00718757809884483
"90" "SNP1" 0.00332108054550058 -0.00449512063365908
"91" "SNP1" 0.00372124985961605 -0.0533768665111808
"92" "SNP1" 0.00311036290901317 0.0856532026938726
"93" "SNP1" 0.00368458327996657 0.0109425540713949
"94" "SNP1" 0.00360284378800641 0.0216862710377293
"95" "SNP1" 0.00376727174058748 -0.00177488234344565
"96" "SNP1" 0.00383867249542942 -0.069707562282207
"97" "SNP1" 0.00406952731094752 0.0654512384804274
"98" "SNP1" 0.00431762070642011 -0.122325972132502
"99" "SNP1" 0.00334155741154605 0.0425762176848174
"100" "SNP1" 0.00396734559087315 -0.0434871055369671
"101" "SNP1" 0.00385065087120805 -0.0259444032901969
"102" "SNP1" 0.0039815046236423 0.0728166326242988
"103" "SNP1" 0.00399683769536656 -0.0155291039450567
"104" "SNP1" 0.00330642746273952 0.0753984758793884
"105" "SNP1" 0.00370088069205159 -0.0763989258166536
"106" "SNP1" 0.00333905373352642 -0.000222708675349014
"107" "SNP1" 0.00392477065214686 0.00293916928948513
"108" "SNP1" 0.00346700931420854 0.0610065953684538
"109" "SNP1" 0.00349703316567944 0.0695218055696961
"110" "SNP1" 0.00344109700877661 -0.00780468784164658
"111" "SNP1" 0.00386282381167038 0.0336548143803311
"112" "SNP1" 0.00364788843284556 0.0969487213612466
"113" "SNP1" 0.00354527202695284 -0.0604576733854045
"114" "SNP1" 0.00337077806818692 0.0393008465312499
"115" "SNP1" 0.0041418705397414 -0.13329641937834
"116" "SNP1" 0.00370179451908259 -0.0160499294795799
"117" "SNP1" 0.00421852318062084 0.0289920874433995
"118" "SNP1" 0.00398749197414597 -0.0902319991645941
"119" "SNP1" 0.00372598674260757 -0.00442797349007804
"120" "SNP1" 0.00350817969420395 -0.0607399588835041
"121" "SNP1" 0.00364982593020792 0.0197649351997411
"122" "SNP1" 0.00371238183266021 0.0773965397589379
"123" "SNP1" 0.00382656785048035 0.0964701000380513
"124" "SNP1" 0.00372714629192872 0.0430276020844627
"125" "SNP1" 0.00368590185466622 -0.0644275793021143
"126" "SNP1" 0.00357276300677634 -0.187171269490033
"127" "SNP1" 0.00374472243936934 0.0207277991077444
"128" "SNP1" 0.00415001731081245 0.108808852669452
"129" "SNP1" 0.00392486194850128 -0.0615400729112656
"130" "SNP1" 0.00362308723597788 -0.058522775867653
"131" "SNP1" 0.00353950622811247 0.0266488717740565
"132" "SNP1" 0.00393098313799875 -0.015666925134055
"133" "SNP1" 0.0033818152727677 0.0174057129160278
"134" "SNP1" 0.00392813885708254 -0.107181018347668
"135" "SNP1" 0.00360384037402911 -0.062227511464927
"136" "SNP1" 0.00385498544162491 0.0217940490760699
"137" "SNP1" 0.0036857819948375 -0.0553346457809515
"138" "SNP1" 0.00435966897819132 -0.0370809864618891
"139" "SNP1" 0.00431940930543666 -0.0154414600985467
"140" "SNP1" 0.00386058053557525 -0.0091067736833032
"141" "SNP1" 0.00435273755672994 -0.034560691244591
"142" "SNP1" 0.0036910662371653 -0.0845369932534298
"143" "SNP1" 0.00420870416337966 0.0638020336537672
"144" "SNP1" 0.00337819290826648 0.000476034426467895
"145" "SNP1" 0.00359650061071222 -0.0415450344317446
"146" "SNP1" 0.00373118990806881 0.0458703723327207
"147" "SNP1" 0.00409432240806473 0.0224834964625148
"148" "SNP1" 0.0037841424265019 -0.0109220005594485
"149" "SNP1" 0.00359017736335955 0.0959139379055995
"150" "SNP1" 0.00432339835465281 0.00281446868345441
"151" "SNP1" 0.00330065094172558 -0.0465492978791324
"152" "SNP1" 0.00427717437021331 -0.180115264778218
"153" "SNP1" 0.00432937752547389 -0.0250114713585251
"154" "SNP1" 0.00326259703404647 0.0819071136816308
"155" "SNP1" 0.0040657861722139 0.041588113724956
"156" "SNP1" 0.00422415239343175 0.0197833479786344
"157" "SNP1" 0.00425991944314482 0.103942453867667
"158" "SNP1" 0.00356873873363059 0.0906712008811323
"159" "SNP1" 0.00380324899950651 -0.0219160554776547
"160" "SNP1" 0.0031592372891362 0.0234384928432781
"161" "SNP1" 0.00361185410536493 -0.0607813764074888
"162" "SNP1" 0.00394143007032263 0.039506665117274
"163" "SNP1" 0.00346805037570464 -0.0304682723794575
"164" "SNP1" 0.003752168912484 0.116583592633473
"165" "SNP1" 0.00374457536478465 -0.112011973922315
"166" "SNP1" 0.00372888290940839 0.0512023675042323
"167" "SNP1" 0.00393913745776245 -0.0574744682569062
"168" "SNP1" 0.00389818684481171 -0.0448290684651275
"169" "SNP1" 0.00370848064502351 0.12899182853282
"170" "SNP1" 0.00413904343540915 0.0350827009922887
"171" "SNP1" 0.00372821821158847 -0.00803117792218725
"172" "SNP1" 0.00369112596754963 0.00179035981720058
"173" "SNP1" 0.00360984147034325 -0.0185391483730938
"174" "SNP1" 0.00327314093128151 0.00626925987098766
"175" "SNP1" 0.00450194580742631 -0.00817181772147145
"176" "SNP1" 0.00310631788879289 0.0556366856590517
"177" "SNP1" 0.00375249149216463 -0.019480801452979
"178" "SNP1" 0.00413413003212247 -0.0551929255823932
"179" "SNP1" 0.00338392574616985 0.0120168366304078
"180" "SNP1" 0.00348181157366072 -0.0646539899867671
"181" "SNP1" 0.00380508243611024 -0.013333249917259
"182" "SNP1" 0.00351069940564656 0.0368310772884688
"183" "SNP1" 0.00350536448073338 -0.186154068253226
"184" "SNP1" 0.00347540686775971 0.0494020721899154
"185" "SNP1" 0.00384870977664969 0.0211822258400635
"186" "SNP1" 0.00378774915224748 0.084862291468165
